City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
833,Morgan City,US,81.0,overcast clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
834,Xifeng,CN,80.64,scattered clouds,42.7372,124.7222,Home Inn Hotel
841,Ha Giang,VN,81.43,overcast clouds,22.8333,104.9833,Truong Xuan Resort
843,Kalmunai,LK,85.77,overcast clouds,7.4167,81.8167,VS Villa
845,Nador,MA,78.87,clear sky,35.174,-2.9287,Hôtel La Giralda
848,Kahului,US,76.96,broken clouds,20.8947,-156.47,Maui Seaside Hotel
849,Umm Kaddadah,SD,78.53,broken clouds,13.6017,26.6876,
856,Wanning,CN,88.38,overcast clouds,18.8003,110.3967,Paradise Hotel
857,Gizo,SB,84.88,overcast clouds,-8.103,156.8419,Imagination Island
860,Griffith,US,77.9,clear sky,41.5284,-87.4237,Apartment above Depot Bar
868,Shenjiamen,CN,81.28,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
870,Karangampel,ID,84.94,broken clouds,-6.4622,108.4519,ROOFTOP WAG ALL
873,Ingham,US,78.75,light rain,42.6,-84.3833,Sunset Mobile Home Park
875,Bud,US,80.87,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
876,Selma,US,86.23,clear sky,36.5708,-119.6121,"Holiday Inn Selma-Swancourt, an IHG Hotel"
877,Pangkalanbuun,ID,88.72,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
878,Panguna,PG,83.77,broken clouds,-6.3164,155.4848,
884,Lakatoro,VU,81.16,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
886,Xinmin,CN,81.45,overcast clouds,41.9908,122.8253,Agricultural Machinery Hotel
887,Diapaga,BF,77.2,light rain,12.0708,1.7889,Hôtel GACILIE
889,Oranjestad,AW,80.55,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
894,Pakxan,LA,80.46,light rain,18.3778,103.6601,Kong Kham Pheng Guesthouse
905,Chitrakonda,IN,78.51,overcast clouds,18.1167,82.0833,Dantunaguda
910,Kushima,JP,82.31,moderate rain,31.4583,131.2333,Hanaoka
911,Sakakah,SA,81.97,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
915,Mahon,ES,75.76,broken clouds,39.8885,4.2658,ARTIEM Capri
918,Dahegam,IN,83.97,overcast clouds,23.1667,72.8167,OYO 3231 Malhaar Resort
919,Tomatlan,MX,78.03,overcast clouds,19.9333,-105.25,El Salvial
922,La Cruz,MX,82.27,scattered clouds,23.9167,-106.9,Jesús angel
926,Grand-Lahou,CI,75.02,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
927,Banjar,ID,86.85,scattered clouds,-8.19,114.9675,The Hamsa Resort
932,Fuerte,PH,86.11,overcast clouds,17.5381,120.3644,Giordion Inn
